ISODateTimeUTC,SecondsSince1970,SOG,BelowLineCalc,central,COG,COG_Mag,DistanceToLeader,Heel,Heel_Abs,Lat,LatBow,LatCenter,lateral,LatStern,Leg,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,TimeLocal,TimeUTC,Trim,VMC,XTE,Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Euler_X (deg),Euler_Y (deg),Euler_Z (deg),F_back,F_front,Gyro_Y (rad/s),Gyro_X (rad/s),Gyro_Z (rad/s),LoadCell_1,LoadCell_2,LoadCell_3,LoadCell_4,LoadCell_5,LoadCell_6,M_back_X,M_back_Y,M_front_X,M_front_Y,M_tot_X,M_tot_Y,P_back_X,P_back_Y,P_front_X,P_front_Y,TWA,Heel_Lwd,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_type,interval_duration,start_time,end_time,maneuver_index,target_id
2025-11-30T12:25:40.757Z,1764505540.757,21.9,,125.78,40.9,37.9,,49.6,49.6,43.0506484,43.050649827,43.05064507,2.2,43.050640313,,20057.234,,6.1132039,6.113205592,6.113199953,6.113194314,3,,-35.578,1764509140757.998,1764505540757.998,9.6,,,-0.204,1.667,0.073,69.796,2.755,-46.5,87753.781,65703.227,-0.072,0.068,0.112,2984.897,56115.203,28653.686,-14369.507,44518.359,35554.371,5658.377,-1435.548,6964.381,-2118.681,12622.759,817.727,-16.311,-64.258,-32.298,-105.998,34.427,49.6,34.427,75.327,7.6,18.064,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:40.854Z,1764505540.854,22.0,,134.9,39.2,36.2,,51.3,51.3,43.0506561,43.050657563,43.050652686,2.8,43.050647809,,20058.395,,6.1132135,6.113215133,6.11320969,6.113204246,3,,-17.708,1764509140854.0,1764505540854.0,6.9,,,0.061,2.05,-0.051,69.446,3.207,-46.655,82342.906,63970.5,-0.038,0.135,0.171,4492.11,49825.629,28025.162,-14370.476,44259.805,34081.172,4828.02,-1239.695,6759.005,-2229.059,11587.024,-332.952,-15.034,-58.547,-34.854,-105.654,36.156,51.3,36.156,75.356,7.6,17.763,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:40.956Z,1764505540.956,22.0,,135.741,42.2,39.2,,50.3,50.3,43.0506636,43.050664999,43.050660336,2.4,43.050655674,,20059.535,,6.1132231,6.113224836,6.11321905,6.113213265,3,,29.126,1764509140956.999,1764505540956.999,6.6,,,0.711,0.805,-0.069,69.046,3.55,-46.912,80062.82,63497.23,-0.039,0.146,0.09,5263.641,46877.898,27921.281,-14334.205,44352.77,33478.668,4431.918,-1141.985,6669.896,-2288.914,11101.814,-914.499,-14.243,-55.268,-36.056,-105.038,33.187,50.3,33.187,75.387,7.6,18.412,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.049Z,1764505541.049,22.1,,136.5,43.1,40.1,,52.1,52.1,43.0506713,43.050672679,43.050668083,1.0,43.050663488,,20060.678,,6.1132324,6.113234165,6.113228281,6.113222396,3,,9.677,1764509141049.999,1764505541049.999,5.8,,,0.741,0.403,-0.67,68.859,3.727,-47.48,78545.516,63286.855,-0.011,0.141,0.015,5562.195,45042.688,27940.631,-14298.53,44299.109,33286.273,4204.672,-1068.62,6638.081,-2298.272,10842.753,-1285.043,-13.604,-53.532,-36.316,-104.888,32.3,52.1,32.3,75.4,7.6,18.68,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.163Z,1764505541.163,22.2,,126.1,41.0,38.0,,51.9,51.9,43.0506787,43.050680125,43.050675375,2.0,43.050670625,,20061.813,,6.113242,6.113243695,6.113238045,6.113232395,3,,-18.584,1764509141163.0,1764505541163.0,7.4,,,0.355,1.328,-0.946,69.138,3.527,-48.388,85960.758,68205.992,-0.014,0.085,-0.105,5039.628,49666.867,31254.266,-14331.979,47507.586,35030.391,4752.801,-1105.773,6886.051,-2434.273,11638.852,-744.01,-12.885,-55.22,-35.685,-101.123,34.4,51.9,34.4,75.4,7.6,18.318,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.256Z,1764505541.256,22.2,,128.1,44.0,41.0,,54.8,54.8,43.0506862,43.050687558,43.050683031,0.1,43.050678504,,20062.932,,6.1132512,6.113252995,6.113247012,6.11324103,3,,31.916,1764509141256.998,1764505541256.998,8.3,,,-0.825,-1.066,-0.666,70.329,2.898,-47.715,89589.063,66716.914,-0.038,-0.084,0.012,2384.644,57690.965,29513.455,-14367.03,47939.719,33144.227,5890.124,-1441.006,6627.82,-2647.957,12517.943,325.071,-16.092,-65.767,-39.758,-99.352,31.4,54.8,31.4,75.4,7.6,18.949,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.357Z,1764505541.357,22.2,,148.9,41.3,38.3,,55.1,55.1,43.0506938,43.050695218,43.05069049,4.8,43.050685762,,20064.078,,6.1132607,6.113262405,6.113256721,6.113251037,3,,-26.999,1764509141357.0,1764505541357.0,7.0,,,1.248,2.264,-0.28,68.431,3.928,-48.681,75082.82,64100.906,0.091,0.236,0.14,9378.22,37447.492,28257.104,-13875.28,48652.363,29323.822,2989.378,-875.51,6026.275,-3014.907,9015.652,-3617.09,-11.583,-39.642,-47.115,-93.939,34.1,55.1,34.1,75.4,7.6,18.383,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.453Z,1764505541.453,22.3,,153.0,42.7,39.7,,55.0,55.0,43.0507012,43.050702588,43.050697962,4.008,43.050693337,,20065.229,,6.1132706,6.113272352,6.113266512,6.113260671,3,,14.583,1764509141453.0,1764505541453.0,6.1,,,1.616,4.009,-3.31,68.814,3.428,-49.052,68796.844,62436.508,0.126,-0.125,-0.08,10792.164,27571.482,30433.195,-12904.897,54852.926,20488.477,1786.997,-373.921,4658.375,-4292.057,6445.373,-6262.673,-5.432,-25.965,-68.733,-74.621,32.7,55.0,32.7,75.4,7.6,18.766,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.546Z,1764505541.546,22.3,,139.088,44.7,41.7,,59.4,59.4,43.0507089,43.050710242,43.050705769,3.232498944,43.050701295,,20066.365,,6.1132798,6.113281617,6.113275559,6.113269502,3,,21.277,1764509141546.999,1764505541546.999,6.8,,,-0.073,-3.5,-1.343,69.129,2.576,-48.109,74732.57,60878.594,0.019,-0.224,-0.177,7571.228,38826.664,28334.678,-13380.194,47759.836,26498.951,3328.704,-851.681,5563.141,-3145.41,8891.845,-2581.617,-11.374,-44.188,-51.912,-91.435,30.7,59.4,30.7,75.4,7.6,19.175,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
2025-11-30T12:25:41.653Z,1764505541.653,22.3,,123.4,41.2,38.2,,56.8,56.8,43.0507167,43.050718121,43.050713385,2.358,43.05070865,,20067.521,,6.1132892,6.113290902,6.113285229,6.113279556,3,,-33.019,1764509141653.0,1764505541653.0,9.6,,,0.737,1.61,-0.04,70.271,2.146,-47.104,88341.539,67568.734,-0.096,-0.167,-0.076,4814.106,51200.25,32327.184,-13468.716,50075.652,30961.799,4940.125,-1116.85,6198.057,-2958.497,11138.182,-359.58,-12.644,-55.924,-43.825,-91.885,34.2,56.8,34.2,75.4,7.6,18.444,30_11_2025_Run11,Gian,Gian Stragiotti,Tack,14.0,1764505550.757,1764505564.757,0,2
