ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_type,interval_duration,start_time,end_time,target_id,maneuver_index
2025-06-08T07:47:29.960Z,1749368849.96,220.8,46.0,46.0,46.0,43.5207515,43.520750071,43.520754835,43.520759599,91.05,1.5,1.8,6394.102,4.1065225,4.106520799,4.10652647,4.106532141,2.5,-50.0,3.3,19.1,1749376049960.0,1749368849960.0,94.35,0.8,80.492,80.492,301.292,9.392,3.155,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.062Z,1749368850.062,218.7,44.8,44.8,44.8,43.5207445,43.520743027,43.520747938,43.52075285,84.9,1.4,1.8,6395.092,4.1065149,4.106513272,4.106518699,4.106524125,2.5,-20.588,3.2,19.2,1749376050062.0,1749368850062.0,88.1,2.5,82.631,82.631,301.331,9.4,2.463,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.160Z,1749368850.16,218.4,44.7,44.7,44.7,43.5207374,43.52073592,43.520740853,43.520745785,76.1,1.1,1.9,6396.083,4.1065075,4.106505883,4.106511274,4.106516665,2.5,-3.061,3.0,19.2,1749376050160.0,1749368850160.0,79.1,9.9,82.98,82.98,301.38,9.4,2.347,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.260Z,1749368850.26,217.0,40.0,40.0,40.0,43.5207301,43.520728592,43.520733618,43.520738645,73.3,1.7,1.9,6397.09,4.1065001,4.106498533,4.106503756,4.10650898,2.5,-14.0,3.6,19.1,1749376050260.0,1749368850260.0,76.9,17.6,84.43,84.43,301.43,9.4,1.854,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.360Z,1749368850.36,216.5,36.4,36.4,36.4,43.5207226,43.520721082,43.520726141,43.5207312,71.7,4.2,1.95,6398.121,4.1064926,4.106491051,4.106496214,4.106501376,2.5,-5.0,4.803,19.1,1749376050360.0,1749368850360.0,79.657,19.3,84.98,84.98,301.48,9.4,1.671,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.459Z,1749368850.459,215.9,44.1,44.1,44.1,43.5207152,43.520713671,43.520718769,43.520723867,74.9,5.444,2.0,6399.156,4.1064848,4.106483273,4.106488362,4.106493452,2.5,-6.061,5.994,19.2,1749376050459.0,1749368850459.0,82.386,16.0,85.63,85.63,301.53,9.4,1.463,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.559Z,1749368850.559,217.6,42.5,42.5,42.5,43.5207076,43.520706104,43.52071109,43.520716077,79.3,6.7,2.05,6400.235,4.1064765,4.106474911,4.106480207,4.106485502,2.5,17.0,7.197,19.2,1749376050559.0,1749368850559.0,85.143,18.7,83.979,83.979,301.579,9.4,2.014,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.658Z,1749368850.658,218.3,38.5,38.5,38.5,43.5207001,43.520698618,43.520703557,43.520708496,79.5,6.3,2.1,6401.319,4.1064679,4.106466286,4.106471665,4.106477045,2.5,7.0,8.4,20.2,1749376050658.999,1749368850658.999,87.9,12.6,83.329,83.329,301.629,9.4,2.346,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.759Z,1749368850.759,219.8,38.0,38.0,38.0,43.5206927,43.520691249,43.520696085,43.52070092,78.9,3.6,1.9,6402.45,4.1064583,4.106456633,4.106462189,4.106467745,2.5,15.0,5.5,20.9,1749376050759.0,1749368850759.0,84.4,8.1,81.88,81.88,301.68,9.4,2.952,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:30.859Z,1749368850.859,223.7,39.3,39.3,39.3,43.5206861,43.520684735,43.520689285,43.520693835,76.5,2.5,1.8,6403.517,4.1064487,4.106446901,4.106452897,4.106458894,2.5,39.0,4.3,21.2,1749376050859.0,1749368850859.0,80.8,8.4,78.03,78.03,301.729,9.4,4.397,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
