ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_type,interval_duration,start_time,end_time,target_id,maneuver_index,Timestamp GPS,Latitude,Longitude,Euler_X (deg),Euler_Y (deg),LoadCell_1,LoadCell_2,LoadCell_3,LoadCell_4,LoadCell_5,LoadCell_6,F_front,F_back,M_tot_X,M_tot_Y,M_front_X,M_front_Y,M_back_X,M_back_Y,P_front_X,P_front_Y,P_back_X,P_back_Y
2025-06-08 07:47:32.859000+00:00,1749368852.859,243.6,45.6,45.6,45.6,43.5205829,43.520582061,43.520584859,43.520587657,105.25,5.1,3.25,6425.155,4.1062224,4.106220068,4.106227842,4.106235616,2.5,1.0,9.65,20.9,1749376052859.0,1749368852859.0,114.9,3.2,58.858,58.858,302.458,9.486,10.809,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:32.959000+00:00,1749368852.959,245.2,40.8,40.8,40.8,43.520579,43.520578208,43.520580848,43.520583488,105.8,5.5,3.4,6426.238,4.1062101,4.106207736,4.106215615,4.106223494,2.5,16.0,8.9,20.8,1749376052959.0,1749368852959.0,114.7,1.6,57.288,57.288,302.488,9.496,11.241,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.053000+00:00,1749368853.053,246.6,47.5,47.5,47.5,43.5205752,43.52057445,43.52057695,43.520579449,109.2,7.7,4.5,6427.316,4.1061978,4.10619541,4.106203376,4.106211341,2.5,14.737,12.2,20.8,1749376053053.998,1749368853053.998,121.4,5.4,55.916,55.916,302.516,9.495,11.656,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.158000+00:00,1749368853.158,246.9,49.3,49.3,49.3,43.5205717,43.520570959,43.520573428,43.520575898,117.1,7.145,5.6,6428.382,4.1061855,4.106183105,4.106191088,4.106199072,2.5,2.857,12.15,20.8,1749376053158.999,1749368853158.999,125.489,5.0,55.648,55.648,302.548,9.484,11.737,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.262000+00:00,1749368853.262,248.5,46.9,46.9,46.9,43.5205684,43.520567708,43.520570015,43.520572321,117.4,6.6,5.5,6429.41,4.1061736,4.106171177,4.106179253,4.106187328,2.5,15.534,12.1,20.8,1749376053262.0,1749368853262.0,129.5,1.0,54.079,54.079,302.579,9.474,12.203,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.359000+00:00,1749368853.359,249.1,51.8,51.8,51.8,43.5205648,43.520564126,43.520566372,43.520568617,116.9,4.0,5.402,6430.494,4.1061611,4.106158668,4.106166776,4.106174884,2.5,6.186,9.392,20.8,1749376053359.0,1749368853359.0,121.523,4.7,53.508,53.508,302.608,9.464,12.37,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.459000+00:00,1749368853.459,248.6,50.6,50.6,50.6,43.5205611,43.520560411,43.520562707,43.520565004,106.7,1.3,5.3,6431.554,4.106149,4.106146576,4.106154657,4.106162737,2.5,-5.0,6.6,20.8,1749376053459.0,1749368853459.0,113.3,2.7,54.038,54.038,302.638,9.454,12.215,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.548000+00:00,1749368853.548,247.3,48.9,48.9,48.9,43.5205577,43.520556971,43.5205594,43.520561829,101.6,3.0,5.5,6432.63,4.1061365,4.106134098,4.106142105,4.106150112,2.5,-14.607,8.5,20.8,1749376053548.0,1749368853548.0,110.1,0.2,55.364,55.364,302.664,9.445,11.822,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.658000+00:00,1749368853.658,249.5,52.1,52.1,52.1,43.5205543,43.520553639,43.520555843,43.520558047,115.1,8.6,7.3,6433.692,4.1061242,4.106121761,4.106129891,4.10613802,2.5,19.82,15.9,20.8,1749376053658.999,1749368853658.999,131.0,5.0,53.198,53.198,302.698,9.434,12.46,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08 07:47:33.759000+00:00,1749368853.759,248.9,50.1,50.1,50.1,43.5205511,43.52055042,43.520552686,43.520554952,118.9,9.8,7.9,6434.753,4.1061118,4.106109371,4.106117468,4.106125565,2.5,-6.0,17.7,20.8,1749376053759.0,1749368853759.0,136.6,4.3,53.828,53.828,302.728,9.424,12.276,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0,,,,,,,,,,,,,,,,,,,,,,,
