ISODateTimeUTC,SecondsSince1970,SOG,TWA,TWS,TWD,BelowLineCalc,central,COG,COG_Mag,DistanceToLeader,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,lateral,LatStern,Leg,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,TimeLocal,TimeUTC,Trim,TWA_Abs,VMC,VMG,XTE,run,interval_id,boat_name,opponent_name,boat_role,boat_weight,interval_duration,mast_brand,load_cell,pol_ratio,SOG_ref,leg_type
2025-11-26T12:20:03.558Z,1764159603.558,23.2,27.465,17.067,329.065,,138.3,301.6,298.6,,64.1,64.1,64.1,43.0479945,43.047995489,43.047992192,5.5,43.047988894,,15027.3,,6.1081218,6.108119599,6.108126935,6.10813427,3,,-12.0,1764163203558.0,1764159603558.0,6.2,27.465,,20.585,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:03.657Z,1764159603.657,23.2,27.005,17.097,329.005,,140.4,302.0,299.0,,60.8,60.8,60.8,43.0480003,43.048001301,43.047997965,5.5,43.04799463,,15028.49,,6.1081095,6.108107309,6.108114612,6.108121916,3,,4.0,1764163203657.999,1764159603657.999,7.8,27.005,,20.67,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:03.757Z,1764159603.757,23.1,26.145,17.127,328.945,,148.5,302.8,299.8,,59.1,59.1,59.1,43.0480059,43.048006923,43.048003514,4.7,43.048000104,,15029.661,,6.1080973,6.108095128,6.108102367,6.108109606,3,,8.0,1764163203757.998,1764159603757.998,9.0,26.145,,20.736,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:03.859Z,1764159603.859,23.0,26.385,17.158,328.885,,134.8,302.5,299.5,,56.7,56.7,56.7,43.0480116,43.048012614,43.048009233,2.4,43.048005851,,15030.845,,6.108085,6.108082821,6.108090084,6.108097348,3,,-2.97,1764163203859.0,1764159603859.0,10.7,26.385,,20.604,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:03.959Z,1764159603.959,23.1,26.525,17.188,328.825,,128.3,302.3,299.3,,56.1,56.1,56.1,43.0480173,43.048018309,43.048014946,1.4,43.048011583,,15032.009,,6.108073,6.108070816,6.108078096,6.108085375,3,,-2.0,1764163203959.0,1764159603959.0,8.9,26.525,,20.669,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:04.052Z,1764159604.052,23.0,26.069,17.231,328.769,,126.805,302.7,299.7,,49.6,49.6,49.6,43.0480233,43.04802432,43.04802092,1.1,43.04801752,,15033.19,,6.108061,6.108058826,6.108066073,6.10807332,3,,4.301,1764163204052.0,1764159604052.0,7.5,26.069,,20.66,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:04.157Z,1764159604.157,22.9,24.105,17.295,328.705,,125.1,304.6,301.6,,55.3,55.3,55.3,43.0480294,43.048030472,43.048026898,2.5,43.048023325,,15034.358,,6.1080493,6.108047173,6.108054262,6.108061351,3,,17.925,1764163204157.999,1764159604157.999,9.6,24.105,,20.903,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:04.259Z,1764159604.259,23.0,23.545,17.355,328.645,,132.8,305.1,302.1,,56.6,56.6,56.6,43.0480351,43.048036186,43.048032567,2.8,43.048028948,,15035.515,,6.1080374,6.108035286,6.108042332,6.108049378,3,,4.95,1764163204259.0,1764159604259.0,7.6,23.545,,21.085,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:04.358Z,1764159604.358,22.9,25.585,17.415,328.585,,140.3,303.0,300.0,,60.0,60.0,60.0,43.0480411,43.048042128,43.048038701,3.1,43.048035273,,15036.677,,6.1080257,6.108023533,6.108030756,6.108037978,3,,-21.212,1764163204358.0,1764159604358.0,7.1,25.585,,20.655,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
2025-11-26T12:20:04.457Z,1764159604.457,22.9,23.225,17.475,328.525,,134.2,305.3,302.3,,60.0,60.0,60.0,43.0480467,43.048047791,43.048044154,1.706968297,43.048040518,,15037.841,,6.1080136,6.108011491,6.10801852,6.108025549,3,,23.0,1764163204457.999,1764159604457.999,10.2,23.225,,21.044,,26_11_2025_Run1,1,Karl Maeder,,slave,115.49,97.41300010681152,Levi,2,92.91640302538902,22.842258672460343,upwind
